interaction_id,compound_or_chemotype,artemisia_context,parasite,stage_or_model,target_protein,gene_or_uniprot,pdb_id,interaction_mode,evidence_level,assay_or_method,result,host_selectivity_or_control,source_id,inference_boundary
PPI001,artemisinin,A. annua-derived drug,P. falciparum,mixed asexual parasites,"OAT; PyrK; LDH; SpdSyn; SAMS; plasmepsins I/II; MSP1; actin",,,heme-activated covalent targeting,E5,activity-based chemical proteomics plus orthogonal validation,"124 covalent binding targets were reported and selected targets showed binding-associated functional impairment",healthy RBC proteins were not labeled under reported conditions,artemisinin-promiscuous-targeting,proteome target list is assay- and probe-dependent; does not exclude noncovalent targets
PPI002,artemisinin,A. annua-derived drug,P. falciparum,early ring and asexual cultures,PfPI3K,,,inhibitory binding,E5,cellular resistance genetics plus immunopurified enzyme assay,DHA inhibited immunopurified PfPI3K at 4 nM and PfK13 C580Y was associated with increased PfPI3K/PI3P,46 mammalian kinases including VPS34 were not significantly inhibited at 10 uM,artemisinin-pfpi3k,mechanistic anchor but not proof that PfPI3K is the sole lethal target
PPI003,dihydroartemisinin,A. annua-derived drug,P. falciparum,asexual blood stages,parasite proteasome,,,functional impairment,E4,chemical-genetic and proteostasis assays,DHA caused protein damage and compromised proteasome function with accumulation of damaged and polyubiquitinated proteins,proteasome inhibitors and stress-response controls were used,artemisinin-proteasome,proteasome involvement does not identify one direct DHA-binding subunit
PPI004,artemisinin,A. annua-derived drug,P. falciparum,intraerythrocytic developmental cycle,multiple stage-dependent protein targets,,,covalent and noncovalent binding,E4,photoaffinity chemical proteomics and target validation,stage-specific target sets implicated protein synthesis glycolysis and oxidative homeostasis,stage-resolved parasite experiments,artemisinin-photoaffinity-targets,reported target associations are broader than validated direct biochemical interactions
PPI005,sesquiterpene lactone panel,not established as Artemisia-derived,L. major; L. donovani,enzyme structures,Lm PTR1; Lm CS; Ld NMT; Lm TryS,,,predicted noncovalent binding,E2,molecular docking of 123 sesquiterpene-related compounds,compound 75/76 xanthanolides had predicted Lm PTR1 affinity of -10.6 kcal/mol; structural contacts were proposed,not a host selectivity experiment,sesquiterpenes-leishmania-docking,docking scores are hypotheses and the compounds are not established here as Artemisia constituents
PPI006,sesquiterpene lactones cnicin and cynaropicrin,non-Artemisia Asteraceae natural products,T. brucei,recombinant enzymes,Tb PTR1; Tb DHFR,,,enzyme inhibition with docking,E4,in silico pharmacophore/docking plus spectrophotometric recombinant-enzyme assays,cnicin inhibited Tb PTR1 with EC50 21.2 uM; cynaropicrin inhibited Tb PTR1 12.4 uM and Tb DHFR 7.1 uM,enzyme assays lacked a mammalian homolog selectivity panel in this record,stl-trypanosoma-brucei-enzymes,validates enzyme inhibition for tested compounds but does not establish Artemisia origin or whole-parasite target engagement
PPI007,terpenoid docking panel,not established as Artemisia-derived,T. cruzi,enzyme model,cruzain,,,predicted binding,E2,molecular docking analysis,hydrophobic active-site pocket interactions were proposed for terpenoids including beta-caryophyllene and germacrene D,prior enzyme activity context was not an Artemisia-specific matched experiment,sesquiterpenes-cruzain-docking,contextual target hypothesis only; no direct binding or parasite efficacy is assigned here
PPI008,artemisinin,A. annua-derived drug,P. falciparum,recombinant protein and biochemical system,PfTCTP,,,direct protein binding,E5,"surface plasmon resonance, mass spectrometry, and crystallographic mapping",binding regions adjacent to residues 19-46 108-134 and 140-163 were reported,host selectivity not resolved in this record,artemisinin-pftctp-direct,direct binding is supported but its contribution to parasite killing remains unresolved
PPI009,artemisinin,A. annua-derived drug,P. falciparum,asexual blood stages,PfRACK1-Pf80S ribosome complex,,,protein-complex stabilization,E3,cryo-EM plus MS-CETSA and parasite structural analysis,artemisinin treatment increased the population of Pf80S ribosomes bound by PfRACK1,study addresses parasite complexes rather than a mammalian homolog counterscreen,artemisinin-pfrack1-ribosome,complex stabilization likely contributes to action but is not a purified artemisinin-PfRACK1 affinity measurement or sole-mechanism proof
PPI010,Artemisia extracts and essential oils,multiple Artemisia species,H. contortus,eggs larvae and adults,not identified,,,phenotype without protein target,E1,whole extract/oil parasite assays,anthelmintic phenotypes are present in the Artemisia literature but no parasite protein interaction is resolved in this map,host-control varies by study,cina-bioassay-sesquiterpene; brevifolia-helminth-assay,protein target discovery remains an explicit gap requiring fractionation and target assays
PPI011,artemisinin and derivatives,A. annua-derived drug class,P. falciparum,Xenopus oocyte expression and parasite imaging,PfATP6 SERCA orthologue,,,functional inhibition,E4,oocyte transport assay competition imaging and iron-dependence experiments,artemisinins inhibited PfATP6 while desoxyartemisinin was inactive and thapsigargin antagonized parasite killing,quinine and chloroquine controls were inactive in the PfATP6 assay,artemisinin-pfatp6,functional evidence supports PfATP6 involvement but later multi-target evidence precludes a sole-target interpretation
